C_ID,D_NAME,D_DESC,D_CATEGORY
PESURRC001,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC002,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC003,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC004,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC005,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC006,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC007,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC008,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC009,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC010,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC011,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC012,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC013,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC014,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC015,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC016,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC017,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC018,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC019,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC020,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC021,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC022,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC023,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC024,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC025,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC026,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC027,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC028,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC029,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC030,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC031,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC032,logistics,Logistics is a fundamental element for the success of an event. It is responsible for providing support throughout its preparation and during its execution. They handle the financial responsibilities of the club.,Technical
PESURRC001,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC002,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC003,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC004,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC005,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC006,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
PESURRC007,Technical,The technical domain of the club manages the website of the club. They are also responsible for designing the technical competitions and hackathons.,Technical
